Item,Image,Price (€),Neighborhood,Zipcode,Link
17×Jeggings Leggings Peppa Minnie Elsa Mädchen 110/116 H&M z.T,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/PjUAAOSwySNgKuEB/$_2.JPG"" style=""max-height:124px;""></img>",40,Reinickendorf,13435,https://www.ebay-kleinanzeigen.de/s-anzeige/17-jeggings-leggings-peppa-minnie-elsa-maedchen-110-116-h-m-z-t/1669053066-22-3457
Peppa Pig Rucksack rosa Kindergarten,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/x2UAAOSwcM5gKpeX/$_2.JPG"" style=""max-height:124px;""></img>",10,Pankow,13189,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-rucksack-rosa-kindergarten/1668720079-18-3472
Bekleidungspaket Set Mädchen 122/128 H&M Peppa Wutz und Barbies,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/i1wAAOSwpKJgKoLB/$_2.JPG"" style=""max-height:124px;""></img>",35,Hellersdorf,12619,https://www.ebay-kleinanzeigen.de/s-anzeige/bekleidungspaket-set-maedchen-122-128-h-m-peppa-wutz-und-barbies/1668612850-22-3511
Peppa Wutz Big Spielhaus,"<img src=""https://i.ebayimg.com/00/s/MTYwMFg3MjE=/z/D7kAAOSwADVgKoB3/$_2.JPG"" style=""max-height:124px;""></img>",25,Tempelhof,12305,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-big-spielhaus/1668589343-23-3410
Vtech peppa Wutz Uhr,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/EVEAAOSwkztgKn9B/$_2.JPG"" style=""max-height:124px;""></img>",11,Tempelhof,12099,https://www.ebay-kleinanzeigen.de/s-anzeige/vtech-peppa-wutz-uhr/1668582703-23-3409
Peppa Pig First Look and Find Board book Buch Englisch eOne,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/B3IAAOSwmZBgKlWi/$_2.JPG"" style=""max-height:124px;""></img>",10,Mitte,10117,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-first-look-and-find-board-book-buch-englisch-eone/1668360774-76-3520
Peppa pig kleid,"<img src=""https://i.ebayimg.com/00/s/MTYwMFg3Mzg=/z/3ncAAOSw-IlgKjwh/$_2.JPG"" style=""max-height:124px;""></img>",10,Neukölln,12057,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-kleid/1668237029-22-9633
Peppa Pig Bettwäsche 135x200 50x70,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAx/z/jM4AAOSw7sdgKjW6/$_2.JPG"" style=""max-height:124px;""></img>",10,Neukölln,12057,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-bettwaesche-135x200-50x70/1668211932-90-9633
Peppa Wutz Figuren,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/eogAAOSwtBNgKjQb/$_2.JPG"" style=""max-height:124px;""></img>",5,Prenzlauer Berg,10407,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-figuren/1668206550-23-3493
10 Bücher für Kleinkinder Peppa fühlen Steiff Töpfchen Set,"<img src=""https://i.ebayimg.com/00/s/NzMzWDE2MDA=/z/dzUAAOSwKVBgKX8s/$_2.JPG"" style=""max-height:124px;""></img>",10,Spandau,13589,https://www.ebay-kleinanzeigen.de/s-anzeige/10-buecher-fuer-kleinkinder-peppa-fuehlen-steiff-toepfchen-set/1668010355-76-3437
